Country,Data,Validity,Price
Africa,1024.0,30,27.0
Africa,3072.0,30,59.0
Asia,1024.0,7,5.0
Asia,3072.0,30,13.0
Asia,5120.0,30,20.0
Asia,10240.0,30,37.0
Asia,51200.0,90,100.0
Asia,102400.0,180,185.0
Europe,1024.0,7,5.0
Europe,3072.0,30,13.0
Europe,5120.0,30,20.0
Europe,10240.0,30,37.0
Europe,51200.0,90,100.0
Europe,102400.0,180,185.0
Caribbean Islands,1024.0,7,15.0
Latin America,1024.0,7,15.0
Latin America,2048.0,15,28.0
Latin America,3072.0,30,39.0
Latin America,5120.0,30,60.0
Middle East,1024.0,7,15.0
Middle East,2048.0,15,28.0
Middle East,3072.0,30,39.0
North America,1024.0,7,6.5
North America,2048.0,15,12.0
North America,3072.0,30,17.0
North America,5120.0,30,25.5
North America,10240.0,30,46.0
Global,1024.0,7,9.0
Global,2048.0,15,17.0
Global,3072.0,30,24.0
Global,5120.0,60,35.0
Global,10240.0,180,59.0
Global,20480.0,365,69.0
Afghanistan,1024.0,7,6.5
Afghanistan,2048.0,15,12.0
Afghanistan,3072.0,30,17.0
Afghanistan,5120.0,30,25.5
Albania,1024.0,7,4.5
Albania,2048.0,15,8.0
Albania,3072.0,30,11.0
Albania,5120.0,30,15.5
Albania,10240.0,30,26.0
Algeria,1024.0,7,7.0
Algeria,2048.0,15,13.0
Algeria,3072.0,30,17.5
Algeria,5120.0,30,27.0
Algeria,10240.0,30,49.0
Andorra,1024.0,7,4.5
Andorra,2048.0,15,8.0
Andorra,3072.0,30,10.5
Andorra,5120.0,30,15.0
Andorra,10240.0,30,25.0
Andorra,20480.0,30,40.0
Anguilla,1024.0,7,9.5
Antigua And Barbuda,1024.0,7,9.5
Antilles,1024.0,7,9.5
Argentina,1024.0,7,6.0
Argentina,2048.0,15,11.5
Argentina,3072.0,30,15.5
Argentina,5120.0,30,23.5
Argentina,10240.0,30,42.0
Armenia,1024.0,7,6.5
Armenia,2048.0,15,12.5
Armenia,3072.0,30,17.0
Armenia,5120.0,30,26.0
Armenia,10240.0,30,45.0
Aruba,1024.0,7,9.5
Australia,1024.0,7,4.5
Australia,2048.0,15,8.0
Australia,3072.0,30,9.0
Australia,5120.0,30,12.5
Australia,10240.0,30,20.0
Australia,20480.0,30,40.0
Austria,1024.0,7,4.5
Austria,2048.0,15,5.0
Austria,3072.0,30,6.5
Austria,5120.0,30,8.0
Austria,10240.0,30,11.0
Austria,20480.0,30,12.0
Azerbaijan,1024.0,7,7.0
Azerbaijan,2048.0,15,12.5
Azerbaijan,3072.0,30,17.5
Azerbaijan,5120.0,30,26.5
Azerbaijan,10240.0,30,48.0
Azores,1024.0,7,5.0
Azores,2048.0,15,9.0
Azores,3072.0,30,11.5
Azores,5120.0,30,17.0
Azores,10240.0,30,29.0
Azores,20480.0,30,48.0
Bahamas,1024.0,7,9.5
Bahrain,1024.0,7,5.0
Bahrain,2048.0,15,9.0
Bahrain,3072.0,30,12.5
